date,name,nation,score
2023-03-06,Jennifer Berry,Thailand,78
2023-03-06,Scott Andrews,Burkina Faso,47
2023-01-27,Danny Harris,Lao People's Democratic Republic,65
2023-02-04,Jennifer Jones,Holy See (Vatican City State),43
2023-01-12,Dr. Kristy Wright DDS,Gabon,90
2023-01-06,Mark Ayers,Cayman Islands,52
2023-02-12,Jessica Harmon,France,71
2023-01-08,Chad Blair,Sri Lanka,70
2023-01-15,Karen Lewis,Western Sahara,4
2023-01-11,Jessica Wolf,Heard Island and McDonald Islands,5
2023-01-05,Robert Orr,Brazil,93
2023-01-13,Samuel David,Cayman Islands,46
2023-01-09,Dorothy Bradshaw,Ukraine,32
2023-01-21,Amber Keller,Dominica,21
2023-01-12,Kevin Taylor,Brunei Darussalam,39
2023-03-19,Stephanie Taylor,Bahrain,35
2023-01-14,Craig Thomas,Maldives,15
2023-02-14,Bryan Castaneda,Nicaragua,97
2023-02-17,Patricia Pitts,Senegal,96
2023-03-14,Brianna Robinson,French Southern Territories,36
2023-02-08,Nathan Collins,Oman,20
2023-02-09,Jacqueline Garrett,Jordan,96
2023-01-08,Julia Howard,Botswana,19
2023-01-07,Timothy Roberts,Germany,66
2023-02-20,Gregory Rivera,Malta,9
2023-03-01,Stacy Pugh,San Marino,82
2023-02-06,Joseph Franco,Israel,38
2023-03-01,Brittany Greene,Svalbard & Jan Mayen Islands,40
2023-01-16,Lisa Woodard,Cape Verde,57
2023-02-19,Megan Wallace,Libyan Arab Jamahiriya,3
2023-02-27,Patricia Mcdowell,Canada,86
2023-02-20,Debbie Craig,Fiji,31
2023-01-13,Jessica Joseph,Mauritius,64
2023-01-18,Jeremy Snyder,Kyrgyz Republic,35
2023-01-05,Zachary Frederick,Belize,85
2023-03-22,Thomas Daniel,Malaysia,49
2023-02-11,Kelly Garcia,Burundi,51
2023-01-07,Johnny Gibson,Nicaragua,30
2023-02-09,Zachary Gay,Malawi,63
2023-02-04,Stephen Jones,Pakistan,66
2023-01-03,Jason Wolfe,French Polynesia,91
2023-01-01,Charles Drake,Canada,86
2023-02-11,Marcia Garcia,Saint Pierre and Miquelon,40
2023-01-18,Kelli Jones,Western Sahara,37
2023-03-10,Breanna Bonilla,Turkey,25
2023-02-10,Brian Guzman,Indonesia,58
2023-02-28,Cheryl King,Argentina,66
2023-01-17,Jeanne Moore,Ethiopia,28
2023-01-10,Julie Stevens,Central African Republic,60
2023-01-09,Elizabeth Moss,Moldova,99
2023-02-04,Debbie Davis,New Zealand,2
2023-03-04,Alex Chavez,Chad,40
2023-03-12,Roberto Mata,Isle of Man,16
2023-03-19,Teresa Ellis,Cuba,27
2023-01-16,Jason Scott,Faroe Islands,44
2023-02-16,Mason Ramos,Papua New Guinea,15
2023-03-10,Sarah Santiago,Romania,0
2023-01-05,Joshua Cline,Kuwait,82
2023-02-03,Scott Coleman,Russian Federation,48
2023-01-16,Danielle Ewing,Fiji,82
2023-01-15,Sean Rojas,Honduras,66
2023-01-29,Sabrina Knapp,Greenland,8
2023-01-27,Corey Lee,Costa Rica,54
2023-01-21,Angela Marks,Tonga,5
2023-03-01,Lucas Harper,Algeria,79
2023-02-27,Matthew Middleton,Dominican Republic,71
2023-01-03,Lisa Alexander,French Southern Territories,97
2023-02-11,William Martinez,Isle of Man,20
2023-02-28,Michael Rose,Comoros,2
2023-01-20,Eddie Mcdonald,South Africa,85
2023-01-21,Mr. Robert Anderson Jr.,Guadeloupe,72
2023-01-03,Carol Dominguez,Rwanda,37
2023-01-23,Charles Jordan,Haiti,70
2023-01-12,Vanessa Scott,Portugal,3
2023-01-19,Melissa Shaw,United States Minor Outlying Islands,13
2023-01-30,Michael Gross,Seychelles,15
2023-02-28,Anthony Warren,Timor-Leste,27
2023-02-12,Christopher Thomas,Australia,62
2023-03-11,Lori Romero,Ecuador,83
2023-02-18,Marcus Webb,Kuwait,73
2023-02-20,Keith Nunez,New Caledonia,38
2023-01-23,Ashlee Gonzalez,Marshall Islands,40
2023-02-04,John White,Togo,23
2023-01-01,Rebecca Johnson,Azerbaijan,74
2023-01-23,Matthew Aguilar,Jamaica,88
2023-02-25,Timothy Davidson,Tanzania,88
2023-02-24,Samantha Boyd,Christmas Island,96
2023-01-07,Justin Turner,Argentina,7
2023-02-12,Sarah Franklin,Morocco,25
2023-03-06,Jennifer Daniels,Sierra Leone,63
2023-02-18,William Jimenez,Ireland,6
2023-01-21,Francisco Tate,Finland,16
2023-02-24,David Miller,Tajikistan,59
2023-01-30,Troy Hodges,Chad,80
2023-02-09,Melissa Mcdonald,Cyprus,42
2023-02-20,Brenda Hunt,El Salvador,56
2023-03-05,Deborah Leon,Nauru,94
2023-01-18,Anthony Williams,Marshall Islands,48
2023-01-18,Fernando Stone,Costa Rica,70
2023-02-22,Melissa Ball,Georgia,29
2023-03-20,James Young,Bangladesh,43
2023-01-07,James Horton,Aruba,68
2023-02-16,Caitlin Harvey,Palau,17
2023-02-18,Kathy Gonzalez,Saint Helena,24
2023-01-04,Dakota Rodriguez,Taiwan,53
2023-03-07,Allison Frazier,Korea,86
2023-01-30,Eileen Phillips,Equatorial Guinea,26
2023-02-18,Kaitlyn Smith,Liechtenstein,18
2023-02-04,Michelle Diaz,Palestinian Territory,75
2023-01-25,Michael Richardson,Timor-Leste,34
2023-01-23,Vicki Dillon,Sweden,21
2023-01-10,Joanna Peck,Liberia,97
2023-01-28,Rebecca Johnson,Martinique,69
2023-03-04,Sonia Norton,Germany,96
2023-01-07,Sharon Walsh,Uganda,50
2023-02-22,Matthew Quinn,New Caledonia,80
2023-02-06,Nancy Beard,Brunei Darussalam,52
2023-02-27,Christopher Dunlap,Christmas Island,78
2023-02-20,Latoya Graham,Malaysia,99
2023-02-12,Jerome Acevedo,Lao People's Democratic Republic,8
2023-01-22,John House,Korea,52
2023-03-21,Emily Burns,Somalia,5
2023-03-14,Travis Hicks,Liberia,81
2023-01-13,Mr. Christopher Henderson,Faroe Islands,35
2023-01-21,Kelly Davis,Italy,24
2023-01-10,Samantha Smith,Bulgaria,94
2023-01-17,James Smith,Iceland,93
2023-02-06,Derrick Crawford,Aruba,1
2023-02-07,Connie Burns,Falkland Islands (Malvinas),58
2023-01-26,Lisa Rodriguez,Rwanda,67
2023-02-21,Jason Howard,Montenegro,68
2023-03-06,Cheyenne Ramirez,Guinea-Bissau,55
2023-02-14,Scott Perry DDS,Cameroon,50
2023-02-09,Ruth Brown,Saint Lucia,23
2023-01-14,Robert Schneider,Venezuela,72
2023-01-29,Melissa Porter,Ghana,83
2023-01-18,Ricky Ford,Bermuda,25
2023-03-01,Julie King,Paraguay,47
2023-01-18,Kyle Hoffman,Zimbabwe,94
2023-03-09,Justin Collins,Guinea-Bissau,7
2023-03-15,Kara Franco,Serbia,10
2023-01-22,Jordan Castaneda,Zimbabwe,96
2023-03-06,Holly Wright,Syrian Arab Republic,8
2023-01-26,Harry Williams,Iraq,91
2023-03-15,Barry Franklin,Angola,8
2023-01-21,Kimberly Zavala,Faroe Islands,41
2023-01-01,Nancy Jenkins,United Arab Emirates,81
2023-02-12,Claudia Farmer,Bermuda,20
2023-02-25,Angela Alexander,Cook Islands,13
2023-03-07,Alexandra Johnson,French Southern Territories,88
2023-01-20,Timothy Brown,Saint Kitts and Nevis,4
2023-01-29,Emily Robinson,Paraguay,32
2023-01-25,Julian Valdez,Dominican Republic,24
2023-03-15,James Chase,Lebanon,11
2023-02-04,Charles Stewart,Bahamas,68
2023-02-26,Brandy Smith,Liberia,70
2023-01-15,Brandon Oconnell,Cyprus,24
2023-02-07,Kaylee Ortega,Afghanistan,5
2023-01-29,Krista Garcia,Tunisia,13
2023-02-21,Melinda Warren,Suriname,34
2023-03-02,Beth Edwards,Guadeloupe,24
2023-01-25,John Fernandez,Philippines,48
2023-01-13,Nancy Martinez MD,Macedonia,61
2023-01-29,Emily Dunn,Timor-Leste,42
2023-02-25,Isaiah Anderson,Nicaragua,81
2023-01-31,David Patel,Netherlands Antilles,1
2023-03-07,John Hancock,Sao Tome and Principe,59
2023-01-12,Kerri Miller,Armenia,12
2023-01-18,Sandra Oneal,Chad,69
2023-03-01,Hannah Reyes,Cook Islands,31
2023-03-17,Kyle Torres,Tokelau,28
2023-01-15,Whitney Pratt,Belgium,0
2023-03-01,Andrew Martinez,French Guiana,56
2023-03-19,Kayla Gardner,Eritrea,13
2023-01-14,Monica Dominguez,Denmark,43
2023-01-08,Larry Miles,Lebanon,91
2023-01-19,Rita Silva,French Southern Territories,59
2023-01-25,Toni Mccormick,Andorra,97
2023-01-15,Todd Nielsen,Kiribati,99
2023-02-06,Brian Shaw,Yemen,97
2023-03-22,Robin Lyons,Monaco,96
2023-03-05,Allen Brown,Palau,19
2023-01-29,Kenneth Stevens,Cote d'Ivoire,59
2023-02-05,Charles Reynolds,Grenada,65
2023-03-20,Cesar Riley,Guatemala,30
2023-03-20,Jennifer Kemp,Argentina,64
2023-01-06,Matthew Hampton,Jersey,10
2023-01-21,Dr. Julia White,Papua New Guinea,20
2023-01-01,Brandon Brooks,Netherlands,22
2023-02-09,Paul Freeman,Martinique,66
2023-01-29,Willie Kim,Saint Pierre and Miquelon,35
2023-03-21,Timothy Oneal,Kiribati,13
2023-01-04,Ashley Rios,Czech Republic,35
2023-02-02,Catherine Andrews,Sweden,87
2023-01-01,Nicholas Roman,Burkina Faso,4
2023-02-02,Kelly Rodriguez,Georgia,77
2023-02-28,Alex Wright,Liechtenstein,95
2023-03-18,Paul Powers,Tokelau,46
2023-02-16,Robert Young,Guyana,23
2023-03-12,William Myers,United Arab Emirates,31
2023-02-06,Daniel Bridges,Lesotho,8
2023-01-02,Linda Ramirez,Kuwait,59
2023-02-01,Kelly Mcpherson,Bahamas,5
2023-01-15,Dawn Horne,Australia,13
2023-02-26,Ryan Hernandez,Japan,73
2023-03-14,Christopher Lloyd,Belize,78
2023-03-18,Sarah Wilson,Armenia,85
2023-01-22,Christopher Arnold,Dominica,70
2023-02-13,Kerry Grimes,Uzbekistan,91
2023-02-19,Cynthia Hurley,Mauritania,37
2023-03-01,Keith Johnson,Myanmar,78
2023-01-04,Amy Turner,Palau,77
2023-03-20,Nancy Page,Belize,57
2023-01-29,Robin Crawford,India,16
2023-01-21,Christina Mitchell,Germany,98
2023-01-28,Angela Moore,Liechtenstein,50
2023-02-13,Derek Torres,Seychelles,41
2023-01-23,Jennifer Harris,Libyan Arab Jamahiriya,54
2023-03-09,Charles Martinez,Cameroon,2
2023-01-12,Angela White,Cayman Islands,78
2023-01-03,Kerry Lopez,Saint Kitts and Nevis,15
2023-01-18,Michael Ward,South Africa,31
2023-01-24,Paul Oconnor,New Zealand,5
2023-02-03,Janet Martinez,Vietnam,69
2023-02-04,Emma Ruiz,Guernsey,55
2023-01-25,Rachel Foster,Cyprus,83
2023-01-13,Ronald Rivera,Argentina,81
2023-03-06,Miguel Trevino,Guatemala,70
2023-03-03,John Christensen,Yemen,78
2023-03-17,Lisa Rodriguez,Iran,51
2023-01-12,John Chandler,Nicaragua,27
2023-01-15,Catherine Martin,Afghanistan,83
2023-03-02,Patty Dodson,China,25
2023-03-22,Patrick Aguilar,Rwanda,85
2023-03-06,Anthony Abbott,Jamaica,15
2023-01-15,James Lewis,Costa Rica,69
2023-03-18,Emily Fowler,Montserrat,49
2023-03-08,Samuel Smith,Slovakia (Slovak Republic),23
2023-02-27,Natalie Kim,Jamaica,31
2023-01-22,James Anderson,Belgium,75
2023-03-16,Gregory Padilla,Swaziland,91
2023-02-13,Tyler Bryan,Burkina Faso,90
2023-02-03,Angela Aguilar,Lao People's Democratic Republic,8
2023-03-15,Michael Patterson,Pakistan,28
2023-03-18,Tammy Kirk,Falkland Islands (Malvinas),29
2023-02-19,Michael Bailey,Israel,23
2023-03-02,Dennis Edwards,Ecuador,32
2023-02-10,Jeffrey Coleman,Bhutan,90
2023-03-22,Crystal Reyes,Pitcairn Islands,0
2023-02-19,Anthony Walker,Argentina,71
2023-02-24,Laura Salazar,Gambia,3
2023-01-16,Carol Ellis,Pakistan,37
2023-02-06,Gwendolyn Shea,Mayotte,65
2023-01-28,Brad Golden,Norway,4
2023-03-07,Michelle Whitaker,Cameroon,51
2023-03-22,Patricia West,Georgia,51
2023-03-11,Chelsey Aguirre,Yemen,7
2023-01-08,Vernon Mcdonald,Cote d'Ivoire,74
2023-02-17,Joshua Morgan MD,Tonga,34
2023-01-15,Amber Rogers,Mauritania,71
2023-02-11,William Salas,Albania,95
2023-01-12,Spencer Atkinson,Solomon Islands,45
2023-02-19,Sabrina Sullivan,Pakistan,91
2023-02-28,Denise Gutierrez,Somalia,6
2023-01-18,Joseph Savage,Russian Federation,48
2023-02-20,Dr. Pamela Torres,Christmas Island,35
2023-03-21,Ashley Fitzpatrick,Korea,55
2023-02-06,Robert Johnson,Italy,23
2023-01-31,Michael Payne,China,10
2023-02-06,Deborah Shaw,Belize,47
2023-03-15,Kayla Thompson,Nicaragua,93
2023-01-24,Amanda Hutchinson,Eritrea,12
2023-02-01,Diana Garcia,Suriname,10
2023-01-01,Joshua Best,Indonesia,11
2023-03-11,George Wells,Algeria,25
2023-01-12,Mark Johnson,Papua New Guinea,78
2023-01-14,Jamie Hensley,Belarus,59
2023-01-11,Steven Smith,Malta,88
2023-02-16,Donald Simmons,Trinidad and Tobago,15
2023-03-14,Joseph Scott,United States Virgin Islands,25
2023-01-13,Ashley Martinez,Georgia,1
2023-03-22,Louis Franklin,Cuba,35
2023-02-11,Karen Dorsey,Canada,44
2023-03-12,Tammy Gardner,Malawi,28
2023-01-13,Marc Martin,Singapore,22
2023-02-02,Wyatt Smith,Sierra Leone,68
2023-01-27,Cynthia Marsh,Lebanon,64
2023-02-15,Jeremy Foster,Croatia,77
2023-01-01,Jordan Mullins,Guadeloupe,45
2023-03-04,Hector Cortez,Bulgaria,70
2023-01-19,Dean Mcconnell,Mongolia,67
2023-03-09,Cynthia Jackson DDS,Timor-Leste,93
2023-01-09,Adam Garrison,Qatar,37
2023-01-24,Matthew Garcia,Italy,64
2023-02-03,James Mcmillan,El Salvador,12
2023-01-21,Christopher Moore,Isle of Man,94
2023-01-30,Michael West Jr.,Netherlands,35
2023-02-27,Sarah Anderson,New Caledonia,32
2023-02-09,Peter Ross,Lithuania,63
2023-03-04,Brandon Harris,Korea,0
2023-03-04,Jessica Hernandez,Norway,33
2023-03-13,Timothy Wilson,Uganda,3
2023-02-07,John Burton,Russian Federation,79
2023-02-11,Donald Washington,South Africa,47
2023-01-15,Steven Ray,United States Minor Outlying Islands,88
2023-02-24,Joanne Johnson,Svalbard & Jan Mayen Islands,43
2023-02-20,Melissa Barber,Czech Republic,53
2023-02-02,Brandon Miller,Oman,94
2023-01-25,Michael Gilmore,Maldives,50
2023-03-18,Sabrina Rodriguez,Turkmenistan,43
2023-01-11,Kim Clark,Honduras,9
2023-01-22,Jennifer Taylor,Tanzania,9
2023-01-16,Parker White,Ireland,0
2023-01-26,Kayla Hill,Slovenia,27
2023-02-13,Valerie Myers,Austria,48
2023-03-10,Troy Jones,Thailand,75
2023-02-04,Brandon Chavez,United Arab Emirates,54
2023-01-25,Elizabeth King,Jersey,72
2023-02-06,Karen Wiggins,Cayman Islands,74
2023-02-01,Sarah Yang,Falkland Islands (Malvinas),67
2023-01-04,Annette Wilson,Czech Republic,80
2023-02-18,Anthony Finley,Reunion,96
2023-01-14,Charlene Bruce,Greece,75
2023-03-11,Darryl Owens,Sierra Leone,9
2023-02-02,Robert Ward,Isle of Man,28
2023-01-13,Katelyn Mccarthy,Myanmar,66
2023-02-19,Matthew Rodriguez,Libyan Arab Jamahiriya,99
2023-02-14,James Hammond,Costa Rica,87
2023-03-18,Taylor Baker,Aruba,38
2023-01-11,Willie Hooper,Wallis and Futuna,95
2023-01-30,Troy Esparza,Kenya,86
2023-03-13,Victoria Tapia,Northern Mariana Islands,30
2023-03-03,Wayne Jimenez,Sudan,65
2023-03-12,Gabriel Andrews,Tuvalu,31
2023-01-16,Ms. Tammy Barron,Aruba,2
2023-02-19,Abigail Collins,Serbia,74
2023-03-10,Joseph Hall,Austria,54
2023-02-17,Kristen Johnson,Netherlands Antilles,27
2023-01-06,Anthony Clarke,Rwanda,72
2023-03-19,Rebecca Graves,Ecuador,29
2023-01-18,Jill Golden,Suriname,44
2023-01-07,Jamie Wilson,Djibouti,88
2023-02-16,Patricia Wong,Tunisia,80
2023-01-21,Johnathan Allen,Algeria,41
2023-03-03,Amanda Sanchez,Lithuania,55
2023-01-09,Donna Morgan DDS,Nepal,24
2023-01-11,Collin Walker,Kyrgyz Republic,64
2023-01-31,Kevin Bennett,Indonesia,20
2023-02-08,Mary Best,Western Sahara,91
2023-01-24,Christina Ibarra,China,89
2023-01-02,Steven Gomez,Northern Mariana Islands,77
2023-02-01,Christopher Parker,Hungary,2
2023-01-15,Tracey Stevens,Kenya,1
2023-01-10,Matthew Walker,Gambia,44
2023-02-25,Stephanie Bolton,Dominica,73
2023-02-23,Danielle Kelly,Malawi,53
2023-02-07,Kevin Taylor,Lesotho,17
2023-02-01,Carl Bradley,Mozambique,29
2023-03-12,Danielle Miranda,Sri Lanka,97
2023-03-21,Edward Clarke,Saint Lucia,6
2023-02-01,Cathy Anderson,French Guiana,91
2023-01-31,Michael Grant,Liechtenstein,87
2023-03-01,John Chen,Venezuela,97
2023-01-17,Allison Hall,Monaco,89
2023-02-10,Eric Reed,Hong Kong,67
2023-01-26,Scott Jennings,Seychelles,45
2023-02-15,Jessica Farmer,United States Virgin Islands,95
2023-01-05,Joshua Martin,Saint Lucia,16
2023-01-28,Daniel Washington,Puerto Rico,60
2023-02-18,Lisa Johnson,Cayman Islands,14
2023-01-17,Miguel Doyle,Djibouti,74
2023-01-27,Tracey Floyd,Wallis and Futuna,69
2023-01-12,Debra Clark,Jamaica,74
2023-01-17,Jennifer Russell,Hungary,60
2023-01-17,Jason Navarro,Argentina,55
2023-01-01,Lori Collins,Qatar,12
2023-03-09,Bryan Richmond,Western Sahara,73
2023-01-23,Tanya Chapman,Timor-Leste,54
2023-02-15,Lisa Martinez,Switzerland,51
2023-03-06,Melissa Coleman,New Zealand,84
2023-03-22,Brandon Peterson,Maldives,83
2023-01-02,Corey Morgan,Australia,24
2023-03-12,Jamie Davis,Lao People's Democratic Republic,57
2023-02-09,Leah Davenport,Hungary,21
2023-01-07,Joseph Patterson,Singapore,62
2023-03-06,Sarah Jackson,United States Minor Outlying Islands,99
2023-01-26,Carrie Marshall,Bermuda,1
2023-01-21,Seth Myers,Slovakia (Slovak Republic),5
2023-02-19,Patricia Johnson,Netherlands,76
2023-03-14,Melanie Schwartz,Saint Martin,68
2023-03-14,Brenda Aguilar,Slovenia,32
2023-01-14,Jacob Ford,Bahamas,58
2023-01-12,Mr. Jason Wright DDS,Congo,12
2023-02-25,Amy Myers,Djibouti,28
2023-02-12,Diane Bailey,Anguilla,48
2023-02-15,Raymond Atkins,Nepal,6
2023-03-12,Sean Jones,Macedonia,80
2023-01-13,Wyatt Mckinney,Tunisia,47
2023-03-01,Wanda Larson,Bosnia and Herzegovina,10
2023-03-18,Michelle Robertson,Bhutan,39
2023-02-26,John Peters,Guam,49
2023-01-31,Christine Gray,Mexico,83
2023-03-02,Elizabeth Perry,Honduras,87
2023-03-16,Nathan Benton,American Samoa,4
2023-03-08,Laura Johnson,Egypt,4
2023-01-19,Jacob Barnett,United States of America,64
2023-03-19,Christopher Cobb,Seychelles,44
2023-01-21,Amber Gonzalez,Ukraine,56
2023-01-01,Julie Terry,Isle of Man,27
2023-02-01,Christina Shaw,Dominica,24
2023-01-07,John Mcneil,Haiti,55
2023-03-15,Lucas Bass,Botswana,19
2023-02-27,Christopher Butler,Azerbaijan,85
2023-02-23,Vickie West,Congo,67
2023-03-21,Teresa Hunter,Suriname,51
2023-01-31,Oscar White,Egypt,39
2023-01-07,Ryan Ashley,Sao Tome and Principe,94
2023-01-28,Bryan Davidson,Saint Kitts and Nevis,42
2023-03-09,Jennifer Jackson,British Indian Ocean Territory (Chagos Archipelago),47
2023-01-24,Courtney Palmer,French Polynesia,54
2023-03-18,Diane Boyle,Myanmar,53
2023-02-06,Derek Hunter,Lao People's Democratic Republic,93
2023-03-22,Christopher Johnson,South Georgia and the South Sandwich Islands,10
2023-01-21,Stacey White,Indonesia,69
2023-03-20,Yesenia Johnson,Uruguay,75
2023-02-18,Christine West,Saint Kitts and Nevis,63
2023-03-14,Sherry Henry,Cameroon,49
2023-01-18,Caitlyn Perez,Sudan,17
2023-02-20,Theresa Johnson,Armenia,95
2023-02-18,Mark Taylor,Anguilla,54
2023-03-17,James Hurley,Guernsey,56
2023-01-10,Bianca Richards DDS,Lithuania,83
2023-01-15,Mrs. Alexis Carter,Turkmenistan,87
2023-03-21,Susan Cook,Guinea-Bissau,37
2023-03-04,Shawn Decker,Venezuela,27
2023-02-27,Jonathan Robbins,Brunei Darussalam,92
2023-03-20,Kathleen Foley,Timor-Leste,81
2023-03-08,Stephanie Ayers,Barbados,43
2023-02-12,Jessica Wilson,Tonga,21
2023-02-12,Kelly Valdez,Congo,91
2023-03-14,Sharon Ramirez,Gambia,52
2023-03-18,Amy Mendez,Guernsey,90
2023-03-08,Melinda Wallace,Libyan Arab Jamahiriya,82
2023-02-12,Ryan Taylor,Bolivia,60
2023-03-07,Jesus Walters,Venezuela,14
2023-02-20,Shawn Miller,Qatar,22
2023-03-22,Michael Morales,Azerbaijan,32
2023-01-24,Jonathan Adkins,Svalbard & Jan Mayen Islands,35
2023-01-02,Joanna Wilson,Spain,69
2023-02-21,Mark Hart,Norfolk Island,16
2023-03-09,Kathleen Horne,Moldova,95
2023-02-17,Jose Small,Sao Tome and Principe,77
2023-01-04,Jessica Gardner,Norway,94
2023-02-27,Joshua Wilson,Andorra,93
2023-01-18,Valerie Nunez,United Kingdom,44
2023-02-22,Suzanne Adams,Mongolia,78
2023-02-10,Amy Mclean,Togo,15
2023-01-30,Kelli Williamson,Mozambique,64
2023-01-10,Amy Lee,Malta,81
2023-02-18,Courtney Paul,Nigeria,21
2023-01-18,Anthony Moore,Moldova,45
2023-03-08,Jill Wall,Madagascar,69
2023-03-10,Tristan Castillo,Uganda,18
2023-01-21,Robin Lee,Brunei Darussalam,38
2023-03-19,Monica Gallegos,United States Minor Outlying Islands,53
2023-01-26,Kevin Wilson,Fiji,42
2023-01-29,Mrs. Cheryl Ross,Colombia,1
2023-01-02,Amy Patterson,Slovakia (Slovak Republic),20
2023-03-17,Christina Lopez,Algeria,23
2023-03-07,David Medina,Guatemala,6
2023-03-22,Michael Freeman,Saint Martin,72
2023-02-25,Audrey Allen,Russian Federation,27
2023-02-06,Robert Chase,Norway,12
2023-02-05,Eric Martinez,Maldives,87
2023-02-08,Richard Krueger,Mauritius,93
2023-01-21,Randall Rogers,Cameroon,75
2023-02-05,Mikayla Roberts,Jersey,24
2023-03-05,Brad Harris,Ethiopia,11
2023-02-27,Thomas Curtis,Andorra,94
2023-01-20,Matthew Olsen PhD,British Virgin Islands,81
2023-02-14,Eric Grimes,Jersey,15
2023-03-09,Bryan Patterson,Gibraltar,65
2023-03-09,Marvin Welch,Aruba,73
2023-02-25,Daniel Young,Antarctica (the territory South of 60 deg S),20
2023-03-11,Maxwell Arnold,Bulgaria,78
2023-01-27,Joseph Daniel,United States of America,77
2023-03-04,Jessica Rice,Saint Martin,58
2023-01-09,Thomas Pruitt,Jersey,90
2023-02-09,Patrick Davis,Tuvalu,98
2023-01-03,Dennis Pierce,Saint Vincent and the Grenadines,44
2023-03-08,Deanna Hutchinson,United States of America,24
2023-03-22,Benjamin Huynh,Georgia,52
2023-02-15,Thomas Weiss,Suriname,45
2023-01-15,Elizabeth Padilla,Niger,88
2023-01-09,Margaret Thompson,Congo,60
2023-03-12,Alison Ramirez,Cote d'Ivoire,68
2023-02-17,Joseph Lopez,Guinea-Bissau,19
2023-03-06,Mrs. Bonnie Hall,Bouvet Island (Bouvetoya),66
2023-01-06,Jo Long,Bahrain,46
2023-02-15,Paul Moody,Ukraine,21
2023-02-23,Colleen Lutz,Jordan,68
2023-01-13,Jared Walls,Belgium,80
2023-02-01,Diane Black,Faroe Islands,66
2023-02-26,Sarah Perez,Paraguay,67
2023-01-21,Amanda Robinson,Norway,63
2023-01-12,Makayla Stewart,Vanuatu,39
2023-02-27,Ashley Moore,Cyprus,53
2023-02-23,Danielle Smith,Russian Federation,94
2023-02-04,Christine Conrad,Central African Republic,95
2023-03-10,Alexandra Smith,Christmas Island,44
2023-02-28,Howard Oneill,Montserrat,61
2023-01-30,Kenneth Burke,French Southern Territories,85
2023-01-02,Calvin Martin,Albania,33
2023-01-12,Donald Mitchell,Netherlands,47
2023-01-27,Larry Parsons,Cuba,98
2023-03-10,Victoria Johnson,Brunei Darussalam,21
2023-01-24,Michele Jackson,British Virgin Islands,13
2023-01-16,Jill Vazquez,Finland,25
2023-02-05,Bobby Robinson,Suriname,60
2023-02-08,Jamie Paul,Trinidad and Tobago,95
2023-02-18,Janice Mueller,United States of America,85
2023-01-04,Brandi Haley,Korea,93
2023-03-04,Elizabeth Robinson,French Southern Territories,61
2023-02-27,Suzanne Smith,Iran,86
2023-03-11,Elizabeth Davis,Angola,34
2023-01-30,Anthony Henderson,Uruguay,84
2023-02-15,Chad Barton,Mali,68
2023-03-21,Carolyn Jenkins,United Kingdom,98
2023-01-11,Joseph Dawson,Nigeria,29
2023-01-17,Kathleen Porter,Andorra,44
2023-03-15,Kelly Ramirez,Gibraltar,81
2023-01-29,Jennifer Smith,Kyrgyz Republic,8
2023-01-22,Ashley Arias,Slovakia (Slovak Republic),66
2023-03-17,David Smith,Falkland Islands (Malvinas),83
2023-01-16,Marcus Mckenzie,Samoa,21
2023-01-07,Samuel Moreno,Mozambique,38
